bucket,N,S,period
2023-09-13,11,0.42001753449440005,pre
2023-09-14,11,0.4945639491081238,pre
2023-09-15,3,0.3975599408149719,pre
2023-09-17,1,,pre
2023-09-18,25,0.5910317947467169,pre
2023-09-19,2,0.3566756248474121,pre
2023-09-20,1,,pre
2023-09-21,7,0.5222157835960388,pre
2023-09-22,3,0.4221310317516327,pre
2023-09-24,1,,pre
2023-09-25,3,0.4365738332271576,pre
2023-09-26,11,0.7127582728862762,pre
2023-09-27,3,0.4242708086967468,pre
2023-09-29,1,,pre
2023-10-04,18,0.6794209901024314,pre
2023-10-05,4,0.44179121653238934,pre
2023-10-06,1,,pre
2023-10-10,2,0.29736804962158203,pre
2023-10-11,3,0.45022618770599365,pre
2023-10-12,4,0.43694718678792316,pre
2023-10-13,9,0.7648804411292076,pre
2023-10-15,6,0.7931557655334472,pre
2023-10-17,23,0.7095013531771573,pre
2023-10-18,6,0.5053586006164551,pre
2023-10-19,4,0.4817287127176921,pre
2023-10-20,4,0.3457544644673665,pre
2023-10-23,9,0.5930337235331535,pre
2023-10-24,5,0.35871005058288574,pre
2023-10-25,9,0.6155944541096687,pre
2023-10-26,5,0.7191102802753448,pre
2023-10-27,1,,pre
2023-10-30,12,0.8142592690207742,pre
2023-10-31,2,0.3595011234283447,pre
2023-11-01,15,0.5510380608694894,pre
2023-11-02,2,0.2672276496887207,pre
2023-11-03,18,0.82677801917581,pre
2023-11-05,4,0.552327553431193,pre
2023-11-06,8,0.6258352824619838,pre
2023-11-07,2,0.23693323135375977,pre
2023-11-09,7,0.7547049721082052,pre
2023-11-10,12,0.8325023217634722,pre
2023-11-13,29,0.5116990719522748,pre
2023-11-14,1,,pre
2023-11-15,82,0.5665244349726924,pre
2023-11-16,14,0.5894639400335459,pre
2023-11-17,24,0.5721826553344727,pre
2023-11-19,3,0.37652158737182617,pre
2023-11-20,4,0.4414825439453125,pre
2023-11-21,2,0.3773691654205322,pre
2023-11-22,9,0.6536836996674538,pre
2023-11-23,32,0.6102104187011719,pre
2023-11-24,3,0.702541321516037,pre
2023-11-26,1,,pre
