bucket,N,S,period
2024-09-04,43,0.6351017625558943,pre
2024-09-05,47,0.7081634052421736,pre
2024-09-06,42,0.6661051628066272,pre
2024-09-07,7,0.6671886444091797,pre
2024-09-08,31,0.5780782540639241,pre
2024-09-09,5,0.532768726348877,pre
2024-09-10,19,0.6510888006952074,pre
2024-09-11,38,0.6317599979606835,pre
2024-09-12,21,0.48542976975440977,pre
2024-09-13,46,0.5553419219122993,pre
2024-09-15,8,0.6298027038574219,pre
2024-09-16,4,0.7208890120188395,pre
2024-09-17,4,0.5326297283172607,pre
2024-09-18,34,0.6923163081660415,pre
2024-09-19,24,0.6219933136649753,pre
2024-09-20,4,0.3680502573649089,pre
2024-09-21,7,0.6162908673286438,pre
2024-09-22,6,0.7416783094406127,pre
2024-09-23,2,0.2811605930328369,pre
2024-09-24,51,0.8036308538913727,pre
2024-09-25,3,0.37714099884033203,pre
2024-09-26,59,0.5149666738921198,pre
2024-09-27,44,0.6674251001934672,pre
2024-09-28,6,0.7433650970458985,pre
2024-09-29,9,0.5589254796504974,pre
2024-09-30,61,0.6532382925351461,pre
2024-10-01,31,0.7156854768594106,pre
2024-10-02,35,0.584161779459785,pre
2024-10-03,46,0.7622623337639702,pre
2024-10-04,48,0.7114774014087434,pre
2024-10-05,9,0.4899504631757736,pre
2024-10-06,41,0.5768975809216499,pre
2024-10-07,64,0.7034433758448041,pre
2024-10-08,36,0.566555574962071,pre
2024-10-09,7,0.5045810341835022,pre
2024-10-10,28,0.623671602319788,pre
2024-10-11,5,0.42956939339637756,pre
2024-10-12,8,0.667222227369036,pre
2024-10-13,35,0.7018482229288887,pre
2024-10-14,38,0.699052511034785,pre
2024-10-15,28,0.6577703776182952,pre
2024-10-16,28,0.718613138905278,pre
2024-10-17,49,0.6745917660494646,pre
2024-10-18,44,0.6684568205545115,pre
2024-10-19,12,0.5044504729184237,pre
2024-10-20,12,0.49416997215964575,pre
2024-10-21,23,0.6674050417813387,pre
2024-10-22,42,0.7927299999609226,pre
2024-10-23,42,0.7274408456755848,pre
2024-10-24,27,0.6080847588869241,pre
2024-10-25,2,0.3130643367767334,pre
2024-10-26,8,0.645775386265346,pre
2024-10-27,8,0.6689390454973493,pre
2024-10-28,31,0.6733714620272319,pre
2024-10-29,1,,pre
2024-10-30,18,0.5684568671619191,pre
2024-10-31,24,0.6953849585159965,pre
2024-11-01,3,0.4837688207626343,pre
2024-11-02,8,0.5837860788617816,pre
2024-11-03,7,0.7816604177157084,pre
2024-11-04,1,,pre
2024-11-06,36,0.6599423680986677,pre
2024-11-07,38,0.616825661143741,pre
2024-11-08,17,0.5438993908464909,pre
2024-11-09,6,0.7499322891235352,pre
2024-11-10,26,0.557124891281128,pre
2024-11-11,46,0.511028242111206,pre
2024-11-12,34,0.685988288937193,pre
2024-11-13,21,0.5701290756464005,pre
2024-11-14,49,0.5735561226805052,pre
2024-11-15,32,0.5470503530194682,pre
2024-11-16,7,0.6045729617277781,pre
2024-11-17,39,0.5434904961209548,pre
2024-11-18,20,0.6679341165642989,pre
2024-11-19,6,0.5600573539733886,pre
2024-11-20,86,0.5391901983934291,pre
2024-11-21,34,0.6024098468549324,pre
2024-11-22,2,0.5833576917648315,pre
2024-11-23,6,0.5893199682235718,pre
2024-11-24,6,0.6153663635253906,pre
2024-11-25,22,0.6576193741389683,pre
2024-11-26,26,0.689283218383789,pre
2024-11-27,27,0.6332083092286036,pre
2024-11-28,45,0.6374493430961262,pre
2024-11-29,31,0.5690525790055593,pre
2024-11-30,8,0.6558550425938198,pre
2024-12-01,8,0.5754739216395787,pre
2024-12-02,32,0.6749076843261719,pre
2024-12-03,121,0.6431035180886586,pre
2024-12-04,52,0.6069356319951076,pre
2024-12-05,50,0.502414100024165,pre
2024-12-06,30,0.7108885748633023,pre
2024-12-07,8,0.5850144113813128,pre
2024-12-08,14,0.7104442302997296,pre
2024-12-09,30,0.6793276688148235,pre
2024-12-10,38,0.7491798690847449,pre
2024-12-11,13,0.7125052313009897,pre
2024-12-12,31,0.6429979999860128,pre
2024-12-13,7,0.49589001139005023,pre
2024-12-14,7,0.5478310783704122,pre
2024-12-15,12,0.526630618355491,pre
2024-12-16,5,0.7755414247512817,pre
2024-12-17,36,0.6956427846636091,pre
2024-12-18,30,0.6090397341498013,pre
2024-12-19,17,0.49633917957544327,pre
2024-12-20,30,0.7483717984166639,pre
2024-12-21,7,0.7192136446634928,pre
2024-12-22,7,0.7638660768667856,pre
2024-12-23,21,0.7614255726337433,pre
2024-12-24,6,0.3611216306686401,pre
2024-12-25,36,0.7676145144871303,pre
2024-12-26,44,0.5613967429759891,pre
2024-12-27,93,0.7236982052740843,pre
2024-12-28,6,0.46528546810150145,pre
2024-12-29,10,0.5547582043541802,pre
2024-12-30,41,0.6609188228845596,pre
2024-12-31,3,0.6288504004478455,pre
2025-01-01,36,0.7383821759905134,pre
2025-01-02,48,0.641517294214127,pre
2025-01-03,6,0.4204681158065796,pre
2025-01-04,7,0.5755180716514587,pre
2025-01-05,6,0.7723017692565918,pre
2025-01-06,2,0.6279304027557373,pre
2025-01-07,2,0.81592857837677,pre
2025-01-08,53,0.549339160323143,pre
2025-01-09,22,0.5733087630498976,pre
2025-01-10,5,0.37123432755470276,pre
2025-01-11,6,0.7409843683242798,pre
2025-01-12,43,0.7119528821536473,pre
2025-01-13,17,0.5919240638613701,pre
2025-01-14,5,0.38301779329776764,pre
2025-01-15,54,0.4818101536552861,pre
2025-01-16,52,0.5903366032768699,pre
2025-01-17,4,0.4853990077972412,pre
2025-01-18,9,0.5068571642041206,pre
2025-01-19,5,0.7348108142614365,pre
2025-01-20,30,0.7780057068528801,pre
2025-01-21,34,0.6458948055903116,pre
2025-01-22,34,0.6403866825681744,pre
2025-01-23,38,0.7858102933780567,pre
2025-01-24,36,0.7330118724278041,pre
2025-01-25,5,0.751339927315712,pre
2025-01-26,6,0.6439649343490601,pre
2025-01-27,3,0.49742966890335083,pre
2025-01-28,2,0.3596031665802002,pre
2025-01-29,3,0.672162801027298,pre
2025-01-30,39,0.7327404586892379,pre
2025-01-31,9,0.47990545630455017,pre
2025-02-01,9,0.474916011095047,pre
2025-02-02,7,0.6440508762995402,pre
2025-02-03,49,0.678989440202713,pre
2025-02-04,31,0.6018866817156474,pre
2025-02-05,47,0.546845132889955,pre
2025-02-06,2,0.38834166526794434,pre
2025-02-07,5,0.34042707085609436,pre
2025-02-08,4,0.6969072024027506,pre
2025-02-09,6,0.6934305191040039,pre
2025-02-10,49,0.7628595208128294,pre
2025-02-11,27,0.7454458818985865,pre
2025-02-12,88,0.6963218272417441,pre
2025-02-13,42,0.6707128751568678,pre
2025-02-14,4,0.3555459976196289,pre
2025-02-15,5,0.5564389228820801,pre
2025-02-16,31,0.6724659442901612,pre
2025-02-17,4,0.6411643028259277,pre
2025-02-18,5,0.6275171637535095,pre
2025-02-19,48,0.7121214359364612,pre
2025-02-20,91,0.6511028753386603,pre
2025-02-21,6,0.4206108808517456,pre
2025-02-22,5,0.6758230030536652,pre
2025-02-23,48,0.6686688281120138,pre
2025-02-24,81,0.7568983614444733,pre
2025-02-25,90,0.7829755370536547,pre
2025-02-26,23,0.6853563189506531,pre
2025-02-27,28,0.7301478562531648,pre
2025-02-28,34,0.50858930385474,pre
2025-03-01,10,0.4664560423956977,pre
2025-03-02,30,0.5877087116241455,pre
2025-03-03,5,0.4560239464044571,pre
2025-03-04,849,0.5499104089894384,post
2025-03-05,549,0.4600405728947507,post
2025-03-06,664,0.46976552146232686,post
2025-03-07,15,0.4817297799246652,post
2025-03-08,49,0.44512633110086125,post
2025-03-09,229,0.4347037810244058,post
2025-03-10,605,0.47572030028365303,post
2025-03-11,11,0.44108599722385405,post
2025-03-12,10,0.4340706533855862,post
2025-03-13,595,0.43201816769360696,post
2025-03-14,450,0.45087541052387126,post
2025-03-15,70,0.5056230088938838,post
2025-03-16,297,0.5487614280065974,post
2025-03-17,376,0.4729619878133138,post
2025-03-18,554,0.432216606778219,post
2025-03-19,400,0.43261313856693734,post
2025-03-20,261,0.4564962862775876,post
2025-03-21,368,0.5059355182283906,post
2025-03-22,20,0.39395248889923096,post
2025-03-23,34,0.4080415097149936,post
2025-03-24,71,0.5031167915889195,post
2025-03-25,222,0.4716075224574335,post
2025-03-26,94,0.45756583188169747,post
2025-03-27,103,0.4689464586622575,post
2025-03-28,7,0.48742860555648804,post
2025-03-29,16,0.4104060173034668,post
2025-03-30,44,0.566256184910619,post
2025-03-31,76,0.46474902788798017,post
2025-04-01,50,0.5143299200096909,post
2025-04-02,76,0.5377311611175537,post
2025-04-03,85,0.49843481537841616,post
2025-04-04,89,0.7030004980889234,post
2025-04-05,5,0.7441539168357849,post
2025-04-06,11,0.45050517916679383,post
2025-04-07,44,0.4853708882664525,post
2025-04-08,118,0.44519501567905784,post
2025-04-09,73,0.459430768671963,post
2025-04-10,142,0.4428299179313876,post
2025-04-11,151,0.52377179423968,post
2025-04-12,13,0.4461943705876668,post
2025-04-13,12,0.455247315493497,post
2025-04-14,70,0.47139884682669153,post
2025-04-15,79,0.44646488703214204,post
2025-04-16,56,0.4765612082047896,post
2025-04-17,65,0.4824283756315708,post
2025-04-18,24,0.43278596712195355,post
2025-04-19,9,0.5120687633752823,post
2025-04-20,41,0.5767016500234604,post
2025-04-21,47,0.4716838714869126,post
2025-04-22,8,0.4231602805001395,post
2025-04-23,11,0.45283844470977785,post
2025-04-24,176,0.48877803802490233,post
2025-04-25,41,0.4312945306301117,post
2025-04-26,12,0.4427586252039129,post
2025-04-27,9,0.45843665301799774,post
2025-04-28,271,0.6170001648090504,post
2025-04-29,12,0.4305486570705067,post
2025-04-30,25,0.49407801032066345,post
2025-05-01,14,0.4433998236289391,post
2025-05-02,117,0.5424853974375231,post
2025-05-03,9,0.580141618847847,post
2025-05-04,9,0.4762406200170517,post
2025-05-05,4,0.377826452255249,post
2025-05-06,4,0.30083290735880536,post
2025-05-07,53,0.4774569175564326,post
2025-05-08,33,0.524866146966815,post
2025-05-09,13,0.4775928109884262,post
2025-05-10,10,0.46236451466878253,post
2025-05-11,8,0.5477377346583775,post
