method,win,unit,mid,count,mean,abs90,abs95,abs99,rel90,rel95,rel99
① bge-m3·제목본문,1,기사,2023-01-02 12:00:00,6,0.6157175302505493,6,4,0,40.0,26.666666666666668,0.0
① bge-m3·제목본문,1,기자-매체,2023-01-02 12:00:00,6,0.6157175898551941,6,4,0,40.0,26.666666666666668,0.0
① bge-m3·제목본문,1,매체,2023-01-02 12:00:00,6,0.6157175898551941,6,4,0,40.0,26.666666666666668,0.0
① bge-m3·제목본문,1,기사,2023-01-03 12:00:00,4,0.5578410029411316,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-01-03 12:00:00,4,0.5578410029411316,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-01-03 12:00:00,4,0.5578410029411316,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-01-04 12:00:00,6,0.6002286076545715,1,0,0,6.666666666666667,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-01-04 12:00:00,6,0.6002286672592163,1,0,0,6.666666666666667,0.0,0.0
① bge-m3·제목본문,1,매체,2023-01-04 12:00:00,6,0.6002286672592163,1,0,0,6.666666666666667,0.0,0.0
① bge-m3·제목본문,1,기사,2023-01-05 12:00:00,27,0.8125838041305542,171,86,0,48.717948717948715,24.501424501424502,0.0
① bge-m3·제목본문,1,기자-매체,2023-01-05 12:00:00,27,0.8125837445259094,171,86,0,48.717948717948715,24.501424501424502,0.0
① bge-m3·제목본문,1,매체,2023-01-05 12:00:00,27,0.8125837445259094,171,86,0,48.717948717948715,24.501424501424502,0.0
① bge-m3·제목본문,1,기사,2023-01-06 12:00:00,4,0.648902952671051,3,1,0,50.0,16.666666666666664,0.0
① bge-m3·제목본문,1,기자-매체,2023-01-06 12:00:00,4,0.648902952671051,3,1,0,50.0,16.666666666666664,0.0
① bge-m3·제목본문,1,매체,2023-01-06 12:00:00,3,0.8285620808601379,1,0,0,33.33333333333333,0.0,0.0
① bge-m3·제목본문,1,기사,2023-01-07 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-01-07 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,매체,2023-01-07 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기사,2023-01-08 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-01-08 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,매체,2023-01-08 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기사,2023-01-09 12:00:00,2,0.5201166272163391,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-01-09 12:00:00,2,0.5201166272163391,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-01-09 12:00:00,2,0.5201166272163391,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-01-10 12:00:00,2,0.4780217111110687,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-01-10 12:00:00,2,0.4780217111110687,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-01-10 12:00:00,2,0.4780217111110687,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-01-12 12:00:00,5,0.5563952326774597,1,0,0,10.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-01-12 12:00:00,5,0.5563952922821045,1,0,0,10.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-01-12 12:00:00,5,0.5563952922821045,1,0,0,10.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-01-13 12:00:00,6,0.5513765811920166,4,2,0,26.666666666666668,13.333333333333334,0.0
① bge-m3·제목본문,1,기자-매체,2023-01-13 12:00:00,6,0.5513765811920166,4,2,0,26.666666666666668,13.333333333333334,0.0
① bge-m3·제목본문,1,매체,2023-01-13 12:00:00,6,0.5513765811920166,4,2,0,26.666666666666668,13.333333333333334,0.0
① bge-m3·제목본문,1,기사,2023-01-16 12:00:00,8,0.575215756893158,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-01-16 12:00:00,8,0.575215756893158,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-01-16 12:00:00,8,0.575215756893158,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-01-17 12:00:00,5,0.5950201749801636,1,1,0,10.0,10.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-01-17 12:00:00,4,0.5835085511207581,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-01-17 12:00:00,4,0.5835085511207581,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-01-18 12:00:00,3,0.5179948210716248,1,1,0,33.33333333333333,33.33333333333333,0.0
① bge-m3·제목본문,1,기자-매체,2023-01-18 12:00:00,3,0.5179948210716248,1,1,0,33.33333333333333,33.33333333333333,0.0
① bge-m3·제목본문,1,매체,2023-01-18 12:00:00,3,0.5179948210716248,1,1,0,33.33333333333333,33.33333333333333,0.0
① bge-m3·제목본문,1,기사,2023-01-19 12:00:00,16,0.7457901835441589,41,16,1,34.166666666666664,13.333333333333334,0.8333333333333334
① bge-m3·제목본문,1,기자-매체,2023-01-19 12:00:00,15,0.7445911765098572,37,16,1,35.23809523809524,15.238095238095239,0.9523809523809524
① bge-m3·제목본문,1,매체,2023-01-19 12:00:00,15,0.7445911765098572,37,16,1,35.23809523809524,15.238095238095239,0.9523809523809524
① bge-m3·제목본문,1,기사,2023-01-20 12:00:00,3,0.8840253353118896,1,0,0,33.33333333333333,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-01-20 12:00:00,3,0.8840252757072449,1,0,0,33.33333333333333,0.0,0.0
① bge-m3·제목본문,1,매체,2023-01-20 12:00:00,3,0.8840252757072449,1,0,0,33.33333333333333,0.0,0.0
① bge-m3·제목본문,1,기사,2023-01-21 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-01-21 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,매체,2023-01-21 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기사,2023-01-22 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-01-22 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,매체,2023-01-22 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기사,2023-01-24 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-01-24 12:00:00,1,,0,0,0,,,
